Longitude,Latitude,Download,Upload,Time
121.47086,-30.78251,138,8666,1.64473E+12
121.47086,-30.78251,109,6611,1.64473E+12
121.47086,-30.78251,89,4788,1.64473E+12
121.47086,-30.78251,56,3306,1.64473E+12
121.47086,-30.78251,101,6196,1.64473E+12
121.47086,-30.78251,95,5129,1.64473E+12
121.47086,121.47086,160,5308,1.64473E+12
121.47086,-30.78251,83,2654,1.64473E+12
121.47086,-30.78251,50,2654,1.64473E+12
121.47086,-30.78251,42,2654,1.64473E+12
-30.78251,-30.78251,108,2652,1.64473E+12
121.47086,-30.78251,117,3,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,2,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,2,2,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,2,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,14189,229,1.64473E+12
121.47086,-30.78251,14796,215,1.64473E+12
121.47086,-30.78251,4469,68,1.64473E+12
121.47086,-30.78251,1883,37,1.64473E+12
121.47086,-30.78251,7914,125,1.64473E+12
121.47086,-30.78251,12756,176,1.64473E+12
121.47086,-30.78251,4330,76,1.64473E+12
121.47086,-30.78251,13085,255,1.64473E+12
121.47086,-30.78251,21461,267,1.64473E+12
121.47086,-30.78251,15042,238,1.64473E+12
121.47086,-30.78251,3043,63,1.64473E+12
121.47086,-30.78251,11490,180,1.64473E+12
121.47086,-30.78251,2,531,1.64473E+12
121.47086,-30.78251,81,4788,1.64473E+12
121.47086,-30.78251,62,3642,1.64473E+12
121.47086,-30.78251,42,2508,1.64473E+12
121.47086,-30.78251,42,2622,1.64473E+12
121.47086,-30.78251,54,2850,1.64473E+12
121.47086,-30.78251,69,4389,1.64473E+12
121.47086,-30.78251,64,4777,1.64473E+12
121.47086,-30.78251,48,3306,1.64473E+12
121.47086,-30.78251,67,5307,1.64473E+12
121.47086,-30.78251,101,2654,1.64473E+12
121.47086,-30.78251,119,5308,1.64473E+12
121.47086,-30.78251,75,5308,1.64473E+12
121.47086,-30.78251,87,0,1.64473E+12
121.47086,-30.78251,52,4,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,5,5,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,3943,119,1.64473E+12
121.47086,-30.78251,27990,276,1.64473E+12
121.47086,-30.78251,23683,225,1.64473E+12
121.47086,-30.78251,6720,94,1.64473E+12
121.47086,-30.78251,7912,97,1.64473E+12
121.47086,-30.78251,13281,146,1.64473E+12
121.47086,-30.78251,1539,24,1.64473E+12
121.47086,-30.78251,8155,87,1.64473E+12
121.47086,-30.78251,4446,62,1.64473E+12
121.47086,-30.78251,5472,85,1.64473E+12
121.47086,-30.78251,3192,36,1.64473E+12
121.47086,-30.78251,3990,104,1.64473E+12
121.47086,-30.78251,7924,747,1.64473E+12
121.47086,-30.78251,158,9577,1.64473E+12
121.47086,-30.78251,109,5928,1.64473E+12
121.47086,-30.78251,109,6954,1.64473E+12
121.47086,-30.78251,107,6613,1.64473E+12
121.47086,-30.78251,113,7753,1.64473E+12
121.47086,-30.78251,158,9689,1.64473E+12
121.47086,-30.78251,62,3762,1.64473E+12
121.47086,-30.78251,69,5308,1.64473E+12
121.47086,-30.78251,93,5309,1.64473E+12
121.47086,-30.78251,125,7962,1.64473E+12
121.47086,-30.78251,134,7962,1.64473E+12
121.47086,-30.78251,142,2655,1.64473E+12
121.47086,-30.78251,29,3,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,2,2,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
